,id,name_DOL,num_territories,region,region_id,name_WB,net_migration_2012,net_imports_2012,net_imports_2013,net_imports_2014,net_imports_2015,net_imports_2016,Country Name,net_exports_2012,net_exports_2013,net_exports_2014,net_exports_2015,net_exports_2016,name_HTI
102,147,Zambia,0,Sub-Saharan Africa,4,Zambia,-34490,0.390173188,0.441144383,0.412411315,0.47175854,0,Zambia,0.400824233,0.404828504,0.388224294,0.371397052,0,Zambia
103,148,Zimbabwe,0,Sub-Saharan Africa,4,Zimbabwe,-249999,0.477312109,0.447260155,0.398271173,0.377189627,0.381380364,Zimbabwe,0.284810418,0.253671861,0.234758576,0.224870608,0.22333588,Zimbabwe
104,6,Argentina,0,Latin America & the Caribbean,5,Argentina,30000,0.142886829,0.147167556,0.140013151,0.118481404,0.134030474,Argentina,0.162378595,0.146171734,0.14409819,0.110084679,0.127110009,Argentina
105,11,Belize,0,Latin America & the Caribbean,5,Belize,7594,0.629320507,0.667552268,0.65964984,0.676964349,0.68229315,Belize,0.624627248,0.612520181,0.604712065,0.585386732,0.568765903,Belize
106,14,Bolivia,0,Latin America & the Caribbean,5,Bolivia,-61794,0.377825647,0.37138428,0.419713817,0.370645491,0.320402138,Bolivia,0.471661966,0.440924793,0.432930881,0.308682959,0.245855992,Bolivia
107,17,Brazil,0,Latin America & the Caribbean,5,Brazil,15924,0.130622502,0.139316782,0.136734654,0.140666923,0.121254624,Brazil,0.117030548,0.116302009,0.11011962,0.128892212,0.124882577,Brazil
108,28,Chile,0,Latin America & the Caribbean,5,Chile,80820,0.341499877,0.327740032,0.320816932,0.29788455,0.276233743,Chile,0.341218587,0.321994734,0.330608579,0.296781728,0.284638245,Chile
109,32,Colombia,0,Latin America & the Caribbean,5,Colombia,-144998,0.200373359,0.201260526,0.213832366,0.233728507,0.206436955,Colombia,0.182587619,0.17571925,0.159365444,0.152486138,0.140400498,Colombia
110,37,Costa Rica,0,Latin America & the Caribbean,5,Costa Rica,19658,0.359749679,0.342853571,0.347368117,0.318724902,0.319137577,Costa Rica,0.321695688,0.313330174,0.322769954,0.300358804,0.316104546,Costa Rica
111,40,Dominica,0,Latin America & the Caribbean,5,Dominica,,0.514250787,0.479229314,0.526515752,0.512782465,0.549300903,Dominica,0.325910589,0.380505552,0.411126846,0.40941819,0.415377773,Dominica
112,41,Dominican Republic,0,Latin America & the Caribbean,5,Dominican Republic,-153010,0.33841617,0.314754648,0.307325992,0.292828114,0.289045122,Dominican Republic,0.24642606,0.253041223,0.255987127,0.24719659,0.251680976,Dominican Republic
113,42,Ecuador,0,Latin America & the Caribbean,5,Ecuador,-38001,0.315863031,0.309678678,0.294974351,0.23660711,0.196509013,Ecuador,0.301648093,0.286382883,0.2799146,0.206735974,0.193098661,Ecuador
114,44,El Salvador,0,Latin America & the Caribbean,5,El Salvador,-240415,0.440766621,0.455773147,0.435716843,0.418988083,0.393473339,El Salvador,0.256222075,0.263715185,0.259630011,0.257867048,0.248648846,El Salvador
115,53,Grenada,0,Latin America & the Caribbean,5,Grenada,-4274,0.494678244,0.50355754,0.442371831,0.424210936,0.418510836,Grenada,0.258151746,0.254276621,0.255951165,0.241148579,0.237067267,Grenada
116,54,Guatemala,0,Latin America & the Caribbean,5,Guatemala,-50131,0.361139331,0.348286563,0.335594966,0.301458168,0.272951252,Guatemala,0.248685787,0.237198562,0.231584186,0.211604469,0.195267427,Guatemala
117,57,Guyana,0,Latin America & the Caribbean,5,Guyana,-27278,0.868150559,0.78640353,0.733058171,0.636978758,0.585000576,Guyana,0.584448483,0.516496507,0.468258766,0.440783872,0.47212831,Guyana
118,58,Haiti,0,Latin America & the Caribbean,5,Haiti,-150000,0.531608451,0.522908397,0.527327741,0.50544325,0.51221325,Haiti,0.169072215,0.1825539,0.185172418,0.200073647,0.205875491,Haiti
119,60,Honduras,0,Latin America & the Caribbean,5,Honduras,-15001,0.70285417,0.683645589,0.654124426,0.630937713,0.580283523,Honduras,0.509027988,0.479414903,0.475626547,0.459966727,0.427204988,Honduras
120,65,Jamaica,0,Latin America & the Caribbean,5,Jamaica,-93096,0.518720375,0.527204286,0.534927571,0.451654368,0.472532194,Jamaica,0.301928328,0.305972058,0.312583551,0.298054874,0.311309964,Jamaica
121,83,Mexico,0,Latin America & the Caribbean,5,Mexico,-300000,0.33763363,0.326627102,0.333648623,0.370963125,0.399882184,Mexico,0.32644956,0.317819224,0.322864845,0.351360218,0.381574759,Mexico
122,92,Nicaragua,0,Latin America & the Caribbean,5,Nicaragua,-135000,0.677081129,0.657699384,0.616901279,0.581925773,0.569655233,Nicaragua,0.474691756,0.452142695,0.450080722,0.399814364,0.389664525,Nicaragua
123,100,Panama,0,Latin America & the Caribbean,5,Panama,28105,0.797124023,0.686172864,0.614132517,0.561954984,0.495708283,Panama,0.706569108,0.604701387,0.535697871,0.49453036,0.447690337,Panama
124,102,Paraguay,0,Latin America & the Caribbean,5,Paraguay,-86700,0.487069156,0.448237324,0.428817047,0.414888092,0.394148304,Paraguay,0.499214847,0.49563964,0.451890679,0.422856808,0.420933881,Paraguay
